property_id,region_id,property_type,size_m2,rooms,year_built,has_parking
P00244,R05,Apartment,219,2,2014,0
P00245,R06,Studio,99,3,2017,1
P00246,R02,Penthouse,69,4,2018,0
P00247,R02,Detached House,251,4,1978,1
P00248,R06,Penthouse,119,3,1977,0
P00249,R04,Detached House,193,3,1991,0
P00250,R02,Studio,211,5,1997,1
P00251,R04,Penthouse,241,2,2021,1
P00252,R04,Penthouse,190,1,1987,0
P00253,R06,Detached House,209,4,2014,1
P00254,R02,Detached House,240,5,2017,1
P00255,R06,Penthouse,266,4,2022,1
P00256,R06,Penthouse,51,3,1980,1
P00257,R02,Detached House,218,2,1983,0
P00258,R01,Penthouse,81,3,1981,0
P00259,R04,Detached House,253,1,2009,1
P00260,R01,Penthouse,51,3,2007,0
P00261,R02,Apartment,99,2,1991,1
P00262,R03,Penthouse,86,2,1974,1
P00263,R06,Studio,184,3,1998,1
P00264,R06,Duplex,41,5,2009,0
P00265,R01,Studio,44,2,1995,1
P00266,R06,Studio,161,5,1984,1
P00267,R01,Apartment,273,3,2001,0
P00268,R05,Detached House,166,5,2005,0
P00269,R06,Studio,147,2,2001,0
P00270,R06,Duplex,197,5,2017,0
P00271,R02,Penthouse,172,4,1986,1
P00272,R06,Duplex,132,4,2002,1
P00273,R01,Detached House,181,3,2016,0
P00274,R04,Apartment,40,3,1981,1
P00275,R03,Apartment,98,3,1985,0
P00276,R02,Penthouse,201,5,1972,0
P00277,R01,Studio,121,4,1990,0
P00278,R05,Detached House,53,1,1972,1
P00279,R03,Studio,69,4,2010,1
P00280,R04,Studio,247,5,1974,1
P00281,R03,Detached House,119,4,2007,1
P00282,R03,Detached House,45,3,2001,0
P00283,R06,Studio,214,2,2023,1
P00284,R01,Studio,167,4,1988,0
P00285,R05,Apartment,148,4,1988,0
P00286,R05,Detached House,254,2,1983,1
P00287,R03,Penthouse,115,3,1999,0
P00288,R02,Penthouse,177,2,1981,0
P00289,R01,Apartment,218,1,1976,0
P00290,R06,Duplex,186,1,2021,0
P00291,R06,Detached House,89,1,2006,1
P00292,R02,Detached House,203,3,1976,0
P00293,R01,Apartment,218,3,2003,1
P00294,R01,Duplex,69,3,1986,1
P00295,R01,Detached House,79,5,1979,1
P00296,R05,Duplex,201,2,1995,1
P00297,R06,Penthouse,68,2,2012,1
P00298,R01,Duplex,251,2,1970,0
P00299,R05,Apartment,66,2,1989,0
P00300,R02,Apartment,273,3,2019,1
P00301,R03,Duplex,201,2,1991,1
P00302,R04,Duplex,146,2,1975,1
P00303,R05,Penthouse,104,4,1993,0
P00304,R06,Apartment,122,5,2006,1
P00305,R01,Duplex,219,2,2023,1
P00306,R02,Detached House,220,1,2003,1
P00307,R02,Duplex,90,2,1972,0
P00308,R02,Duplex,170,3,2013,0
P00309,R06,Duplex,278,5,2012,1
P00310,R05,Studio,101,1,2005,1
P00311,R02,Studio,206,1,2018,0
P00312,R06,Penthouse,81,3,2011,0
P00313,R03,Apartment,240,5,1982,1
P00314,R04,Detached House,80,3,1992,1
P00315,R03,Studio,111,5,1997,1
P00316,R01,Duplex,150,4,1996,1
P00317,R06,Penthouse,128,1,2004,0
P00318,R01,Studio,80,3,2007,0
P00319,R02,Apartment,193,4,1975,1
P00320,R02,Penthouse,44,3,2000,1
P00321,R02,Penthouse,276,1,1972,0
P00322,R01,Duplex,52,1,1997,1
P00323,R01,Detached House,120,4,1992,0
P00324,R05,Detached House,263,3,1981,0
P00325,R06,Detached House,77,3,2023,1
P00326,R01,Apartment,57,2,1983,0
P00327,R02,Penthouse,218,2,1973,0
P00328,R04,Studio,57,4,1989,1
P00329,R06,Duplex,255,1,2010,0
P00330,R05,Duplex,148,3,1970,0
P00331,R05,Apartment,248,2,1996,1
P00332,R04,Detached House,98,4,1992,0
P00333,R03,Detached House,73,4,2016,1
P00334,R02,Detached House,271,3,1970,0
P00335,R06,Duplex,222,2,1970,0
P00336,R05,Apartment,258,2,2000,1
P00337,R01,Apartment,116,2,1979,0
P00338,R05,Duplex,137,2,2008,1
P00339,R01,Duplex,178,4,1985,1
P00340,R05,Detached House,147,1,2000,1
P00341,R05,Detached House,98,1,1972,0
P00342,R01,Penthouse,130,3,2007,0
P00343,R03,Penthouse,186,2,1997,1
P00344,R01,Duplex,49,5,1970,1
P00345,R04,Penthouse,120,4,1984,1
P00346,R06,Apartment,110,4,1973,1
P00347,R01,Penthouse,56,3,1972,0
P00348,R03,Penthouse,69,3,2007,0
P00349,R06,Penthouse,158,3,1993,1
P00350,R02,Penthouse,64,1,2013,1
P00351,R01,Duplex,122,3,1983,0
P00352,R03,Duplex,174,5,2008,1
P00353,R04,Detached House,249,2,2003,1
P00354,R04,Detached House,63,1,2005,0
P00355,R02,Studio,144,3,2014,0
P00356,R06,Penthouse,64,2,2008,1
P00357,R04,Penthouse,142,4,2010,1
P00358,R02,Apartment,155,5,2009,1
P00359,R06,Detached House,231,5,1994,0
P00360,R06,Studio,146,2,2009,1
P00361,R03,Duplex,264,5,2015,1
P00362,R01,Studio,73,1,2009,1
P00363,R04,Detached House,52,2,2002,0
P00364,R04,Apartment,41,2,1973,0
P00365,R01,Apartment,125,5,1993,1
P00366,R04,Detached House,86,4,1973,0
P00367,R06,Penthouse,61,2,1975,0
P00368,R01,Duplex,96,1,1989,1
P00369,R05,Duplex,273,4,1995,0
P00370,R01,Apartment,232,4,1998,1
P00371,R05,Studio,44,5,2018,1
P00372,R03,Detached House,259,3,2011,1
P00373,R01,Apartment,89,1,1992,0
P00374,R06,Penthouse,137,2,1988,1
P00375,R01,Apartment,118,4,2008,1
P00376,R04,Detached House,137,2,1984,1
P00377,R02,Penthouse,222,1,2017,0
P00378,R06,Detached House,210,5,2012,0
P00379,R05,Penthouse,182,3,2006,1
P00380,R05,Penthouse,190,2,1983,0
P00381,R03,Studio,214,3,2003,1
P00382,R03,Apartment,84,4,2014,0
P00383,R04,Apartment,134,1,1973,0
P00384,R05,Penthouse,65,3,1979,1
P00385,R06,Detached House,209,2,1997,1
P00386,R01,Studio,145,1,1989,1
P00387,R04,Apartment,192,1,2008,1
P00388,R01,Penthouse,175,3,1991,1
P00389,R02,Duplex,105,3,2023,1
P00390,R05,Apartment,73,3,1986,0
P00391,R02,Detached House,273,4,1989,0
P00392,R05,Duplex,110,3,1970,0
P00393,R03,Penthouse,66,3,1983,1
P00394,R02,Apartment,113,5,1982,0
P00395,R03,Detached House,256,4,2011,1
P00396,R04,Studio,102,5,1988,1
P00397,R05,Duplex,276,2,1980,1
P00398,R04,Detached House,150,4,1986,1
P00399,R06,Penthouse,246,4,2000,1
P00400,R06,Studio,196,3,2012,1
P00401,R05,Apartment,50,1,2022,0
P00402,R04,Detached House,162,3,1972,1
P00403,R02,Studio,140,5,2015,0
P00404,R03,Apartment,88,4,1991,1
P00405,R01,Studio,171,1,2013,0
P00406,R03,Penthouse,64,2,1972,0
P00407,R06,Duplex,207,3,2003,0
P00408,R03,Apartment,237,5,2020,1
P00409,R01,Duplex,62,3,1972,1
P00410,R04,Detached House,155,5,2012,0
P00411,R06,Apartment,197,4,1976,0
P00412,R06,Studio,54,2,2023,1
P00413,R02,Penthouse,133,1,2010,1
P00414,R03,Duplex,101,5,2019,1
P00415,R04,Apartment,49,3,2018,0
P00416,R02,Apartment,232,5,1987,1
P00417,R02,Penthouse,146,5,1992,1
P00418,R02,Duplex,220,3,2007,1
P00419,R06,Penthouse,180,1,1979,1
P00420,R05,Studio,250,5,1986,1
P00421,R06,Duplex,279,3,1975,1
P00422,R05,Duplex,184,1,2017,0
P00423,R06,Penthouse,124,3,1983,0
P00424,R01,Studio,141,1,1992,0
P00425,R06,Penthouse,238,2,1994,0
P00426,R01,Studio,142,2,1990,0
P00427,R03,Penthouse,164,3,2012,1
P00428,R04,Penthouse,86,3,2019,1
P00429,R03,Penthouse,277,5,2000,0
P00430,R01,Studio,196,2,2015,0
P00431,R02,Studio,119,4,1975,1
P00432,R05,Duplex,180,5,2022,1
P00433,R02,Studio,136,4,1976,0
P00434,R02,Apartment,77,2,1973,1
P00435,R06,Penthouse,249,4,1971,0
P00436,R01,Detached House,252,2,1983,0
P00437,R06,Apartment,240,3,2015,1
P00438,R06,Apartment,128,4,1986,1
P00439,R04,Penthouse,101,2,2012,0
P00440,R01,Duplex,51,1,1992,1
P00441,R01,Penthouse,215,5,1975,1
P00442,R02,Penthouse,118,4,1995,0
P00443,R04,Apartment,254,1,1982,1
P00444,R01,Studio,248,2,1985,0
P00445,R03,Apartment,70,2,1997,1
P00446,R01,Duplex,260,5,2012,1
P00447,R04,Duplex,73,5,2001,0
P00448,R01,Duplex,157,4,1982,0
P00449,R05,Detached House,153,3,2008,1
P00450,R01,Apartment,269,1,2007,0
P00451,R02,Detached House,197,2,1982,1
P00452,R02,Studio,250,1,2015,0
P00453,R05,Detached House,182,4,2015,1
P00454,R01,Duplex,238,1,2002,1
P00455,R03,Apartment,244,4,1985,0
P00456,R04,Apartment,246,5,1989,1
P00457,R04,Detached House,138,2,1993,1
P00458,R05,Studio,131,4,1980,1
P00459,R05,Studio,276,5,1986,1
P00460,R03,Detached House,221,3,1977,1
P00461,R05,Studio,260,3,1978,1
P00462,R02,Studio,178,2,2010,1
P00463,R06,Penthouse,262,3,1976,1
P00464,R04,Penthouse,212,5,1995,0
P00465,R05,Apartment,218,4,1993,1
P00466,R06,Detached House,82,2,1972,1
P00467,R05,Penthouse,176,3,2014,1
P00468,R06,Apartment,215,4,2023,0
P00469,R04,Penthouse,222,1,2004,0
P00470,R01,Apartment,269,4,2006,0
P00471,R03,Studio,118,2,1982,1
P00472,R02,Apartment,112,2,2015,1
P00473,R06,Apartment,272,3,2012,0
P00474,R02,Studio,276,3,1993,0
P00475,R02,Detached House,83,5,2008,1
P00476,R02,Detached House,130,2,2021,1
P00477,R04,Detached House,267,2,2002,1
P00478,R04,Detached House,87,2,1980,0
P00479,R06,Studio,227,5,1987,0
P00480,R03,Studio,66,5,1979,0
P00481,R02,Detached House,82,3,1987,0
P00482,R01,Studio,228,4,2018,1
P00483,R01,Studio,185,5,1980,0
P00484,R03,Penthouse,173,5,2018,0
P00485,R06,Penthouse,245,4,1985,0
P00486,R04,Duplex,113,3,1996,0
P00487,R06,Penthouse,160,5,1998,0
P00488,R01,Detached House,186,2,1976,0
P00489,R01,Penthouse,217,2,1979,0
P00490,R06,Duplex,119,4,1986,1
P00491,R01,Studio,192,1,1973,1
P00492,R01,Apartment,147,3,2010,1
P00493,R03,Penthouse,170,5,1999,0
P00494,R06,Studio,247,1,2015,1
P00495,R05,Detached House,134,5,2016,1
P00496,R01,Duplex,200,3,1988,1
P00497,R06,Duplex,266,5,2014,0
P00498,R06,Duplex,222,4,1973,1
P00499,R05,Apartment,277,1,1993,1
P00500,R06,Penthouse,180,4,2005,1
P00501,R02,Penthouse,107,1,1995,1
P00502,R06,Studio,277,2,2009,1
P00503,R02,Duplex,194,5,2016,1
P00504,R05,Detached House,97,5,1992,0
P00505,R04,Penthouse,116,1,1984,0
P00506,R05,Studio,102,2,2001,1
P00507,R04,Studio,240,1,2016,0
P00508,R04,Studio,62,2,2023,0
P00509,R04,Detached House,217,5,2014,0
P00510,R05,Duplex,172,1,1983,0
P00511,R05,Apartment,57,4,1981,0
P00512,R01,Penthouse,187,5,2000,1
P00513,R05,Studio,220,5,1991,1
P00514,R04,Apartment,214,2,2002,1
P00515,R02,Penthouse,166,4,2019,0
P00516,R04,Penthouse,120,3,1999,1
P00517,R06,Studio,79,1,1989,1
P00518,R06,Apartment,42,2,2016,1
P00519,R06,Detached House,126,4,1993,0
P00520,R03,Detached House,191,4,2002,0
P00521,R05,Studio,49,3,1977,1
P00522,R03,Detached House,279,4,1997,1
P00523,R05,Penthouse,180,4,1993,0
P00524,R04,Studio,110,2,1976,1
P00525,R02,Studio,270,2,1981,1
P00526,R02,Apartment,84,5,2007,0
P00527,R01,Duplex,269,5,1979,1
P00528,R01,Apartment,107,1,1977,0
P00529,R03,Apartment,131,4,1973,0
P00530,R03,Apartment,142,1,1971,1
P00531,R01,Detached House,278,5,1993,1
P00532,R03,Duplex,100,3,1996,1
P00533,R04,Detached House,273,4,2003,1
P00534,R02,Studio,123,4,2000,1
P00535,R03,Penthouse,108,4,1998,1
P00536,R03,Apartment,193,2,2023,1
P00537,R04,Penthouse,206,5,1983,0
P00538,R03,Apartment,122,3,2008,1
P00539,R05,Penthouse,72,3,1974,1
P00540,R02,Penthouse,135,2,2015,1
P00541,R03,Penthouse,169,1,1989,0
P00542,R03,Detached House,49,3,1988,0
P00543,R02,Studio,58,2,1977,1
P00544,R05,Penthouse,260,4,1997,1
P00545,R02,Detached House,48,2,1991,0
P00546,R02,Penthouse,137,5,2022,1
P00547,R05,Apartment,223,4,1979,1
P00548,R06,Duplex,118,3,1992,1
P00549,R05,Studio,158,4,2018,0
P00550,R06,Detached House,60,4,2013,1
P00551,R06,Studio,230,4,2011,0
P00552,R03,Studio,192,3,1998,0
P00553,R05,Studio,244,5,2017,1
P00554,R02,Apartment,247,2,1982,0
P00555,R03,Duplex,124,3,2013,0
P00556,R04,Duplex,49,2,2001,0
P00557,R06,Duplex,123,3,1988,1
P00558,R06,Duplex,74,5,1981,1
P00559,R03,Duplex,167,4,1998,0
P00560,R04,Studio,75,2,1970,1
P00561,R02,Apartment,261,5,2008,1
P00562,R05,Penthouse,184,4,1982,0
P00563,R04,Detached House,100,3,1991,1
P00564,R04,Detached House,261,1,1980,0
P00565,R05,Duplex,224,3,1995,1
P00566,R04,Duplex,145,5,1990,0
P00567,R01,Penthouse,75,3,1980,0
P00568,R02,Studio,122,1,2017,0
P00569,R02,Apartment,180,1,2011,0
P00570,R05,Detached House,223,5,1990,1
P00571,R01,Duplex,102,3,1973,1
P00572,R02,Penthouse,218,4,2015,1
P00573,R04,Penthouse,107,2,2007,1
P00574,R05,Penthouse,99,1,2000,1
P00575,R04,Detached House,147,3,2002,0
P00576,R06,Duplex,78,4,1970,1
P00577,R06,Studio,137,2,1995,0
P00578,R01,Studio,125,4,1980,1
P00579,R06,Detached House,107,3,2005,1
P00580,R04,Studio,226,2,2020,0
P00581,R04,Duplex,119,2,1998,1
P00582,R01,Studio,206,2,2002,1
P00583,R04,Penthouse,212,2,2006,1
P00584,R05,Detached House,199,4,2020,0
P00585,R04,Penthouse,104,2,1972,1
P00586,R01,Detached House,239,4,1986,1
P00587,R04,Studio,96,2,1984,0
P00588,R06,Apartment,106,2,2008,1
P00589,R05,Apartment,249,5,1994,0
P00590,R01,Studio,121,5,2011,1
P00591,R06,Detached House,207,3,1995,0
P00592,R06,Penthouse,50,2,2022,0
P00593,R02,Penthouse,187,4,2011,0
P00594,R05,Penthouse,248,1,1970,1
P00595,R03,Studio,210,3,2023,1
P00596,R04,Detached House,179,3,2021,0
P00597,R03,Studio,243,4,1972,0
P00598,R05,Detached House,111,1,1991,1
P00599,R06,Detached House,130,1,2022,1
P00600,R05,Penthouse,56,2,2015,0
P00601,R06,Duplex,207,1,1995,1
P00602,R06,Detached House,213,3,1999,0
P00603,R01,Penthouse,220,5,1971,1
P00604,R02,Apartment,219,2,2000,0
P00605,R05,Apartment,70,3,2005,1
P00606,R04,Studio,199,2,1989,1
P00607,R01,Studio,223,1,1986,0
P00608,R01,Detached House,88,4,2014,1
P00609,R04,Studio,154,2,1994,1
P00610,R04,Detached House,259,3,1984,1
P00611,R02,Detached House,139,4,1990,1
P00612,R02,Penthouse,220,5,1996,1
P00613,R01,Detached House,167,1,1984,1
P00614,R04,Duplex,197,3,2000,0
P00615,R01,Penthouse,190,5,2016,0
P00616,R04,Detached House,196,3,2010,0
P00617,R03,Penthouse,227,1,1982,1
P00618,R03,Studio,257,2,1995,0
P00619,R05,Detached House,110,4,1999,0
P00620,R04,Duplex,262,4,2006,1
P00621,R05,Penthouse,190,2,2010,0
P00622,R05,Studio,182,1,1996,0
P00623,R06,Duplex,118,2,1987,1
P00624,R05,Penthouse,140,2,2005,0
P00625,R04,Apartment,196,4,1976,1
P00626,R03,Studio,127,5,2006,0
P00627,R02,Apartment,108,1,2018,1
P00628,R04,Penthouse,236,4,2008,1
P00629,R01,Duplex,139,4,1993,0
P00630,R06,Penthouse,194,4,2014,0
P00631,R06,Studio,47,5,1998,1
P00632,R01,Penthouse,58,1,1999,0
P00633,R05,Detached House,243,4,2016,0
P00634,R01,Detached House,74,1,1980,1
P00635,R05,Penthouse,230,5,2012,1
P00636,R01,Apartment,256,3,2006,1
P00637,R03,Penthouse,155,1,1998,0
P00638,R04,Penthouse,252,4,1974,0
P00639,R05,Duplex,142,4,2011,1
P00640,R03,Apartment,268,3,1981,0
P00641,R06,Duplex,96,2,2018,0
P00642,R05,Penthouse,142,1,2012,0
P00643,R02,Studio,133,5,1989,0
P00644,R05,Penthouse,228,1,1993,1
P00645,R05,Detached House,50,5,1971,0
P00646,R03,Duplex,238,3,1996,1
P00647,R05,Detached House,45,4,1973,0
P00648,R06,Apartment,115,4,2023,0
P00649,R05,Studio,183,5,2004,0
P00650,R05,Studio,74,1,1982,1
P00651,R04,Duplex,157,5,2013,1
P00652,R02,Penthouse,279,1,1971,1
P00653,R05,Apartment,237,5,1999,0
P00654,R03,Apartment,47,2,1976,1
P00655,R04,Penthouse,182,5,1972,1
P00656,R02,Detached House,183,1,1983,0
P00657,R02,Duplex,56,3,1985,1
P00658,R01,Apartment,196,3,2009,0
P00659,R06,Duplex,165,5,2018,1
P00660,R01,Detached House,203,1,2011,1
P00661,R01,Apartment,111,1,2009,0
P00662,R06,Detached House,101,4,2000,1
