transaction_id,property_id,agent_id,closing_date,closing_price
T00152,P04619,A038,2024-02-22,5637185.0
T00153,P03667,A036,2023-08-18,7034773.0
T00154,P04179,A005,2024-02-20,3354635.0
T00155,P04767,A005,2024-05-30,9508979.0
T00156,P01595,A018,2024-01-28,7083039.0
T00157,P03089,A015,2023-11-20,5582954.0
T00158,P00859,A028,2024-07-23,1059585.0
T00159,P04292,A018,2024-03-31,5059976.0
T00160,P01254,A017,2024-10-16,3439717.0
T00161,P00517,A004,2024-02-23,3369391.0
T00162,P02992,A014,2023-04-27,2783284.0
T00163,P02861,A023,2023-12-03,9428054.0
T00164,P04706,A028,2024-09-06,11059344.0
T00165,P03312,A007,2023-12-22,3451644.0
T00166,P00336,A025,2024-10-22,8566097.0
T00167,P02855,A023,2023-07-28,4283910.0
T00168,P00983,A012,2023-06-15,3240611.0
T00169,P02027,A036,2024-06-24,3037046.0
T00170,P04410,A018,2023-08-06,5142190.0
T00171,P01473,A011,2023-12-26,1692492.0
T00172,P03364,A029,2023-10-22,4651832.0
T00173,P00893,A008,2023-11-14,5397688.0
T00174,P02048,A026,2024-04-21,1926483.0
T00175,P01563,A028,2025-01-29,8196692.0
T00176,P00425,A019,2024-11-26,7675208.0
T00177,P01266,A009,2024-11-14,9020868.0
T00178,P04953,A011,2023-10-01,1677045.0
T00179,P03983,A009,2025-03-30,9591291.0
T00180,P04484,A005,2023-09-08,2408157.0
T00181,P04520,A040,2025-01-03,3827946.0
T00182,P04975,A034,2023-12-15,4806230.0
T00183,P04678,A021,2024-05-28,1306397.0
T00184,P03858,A033,2023-05-16,4756509.0
T00185,P01736,A027,2024-12-05,2672023.0
T00186,P03634,A025,2023-08-11,2349398.0
T00187,P01810,A029,2024-10-24,2092428.0
T00188,P01039,A023,2024-07-26,4995063.0
T00189,P01076,A023,2024-03-01,7074197.0
T00190,P02845,A006,2024-01-10,5717635.0
T00191,P02887,A025,2023-05-30,2860155.0
T00192,P00076,A018,2023-09-12,1040262.0
T00193,P03027,A010,2023-08-15,5412216.0
T00194,P01118,A020,2024-12-21,5631979.0
T00195,P03895,A034,2024-08-13,1566076.0
T00196,P03943,A019,2024-01-03,3035975.0
T00197,P01681,A020,2024-09-07,2591462.0
T00198,P03288,A010,2024-08-06,3727992.0
T00199,P03795,A033,2024-03-26,4400630.0
T00200,P03625,A005,2024-08-23,5095734.0
T00201,P00004,A034,2023-11-27,5881905.0
T00202,P01667,A038,2023-09-08,9621200.0
T00203,P04214,A008,2024-09-03,9264159.0
T00204,P00997,A023,2024-12-10,1874501.0
T00205,P04022,A024,2024-08-30,10334029.0
T00206,P01728,A035,2024-04-11,1496508.0
T00207,P03432,A014,2023-10-10,6349160.0
T00208,P01932,A027,2023-08-28,7106827.0
T00209,P01522,A004,2025-01-23,7351860.0
T00210,P04348,A033,2025-04-02,1755084.0
T00211,P01897,A031,2024-09-18,6723685.0
T00212,P04873,A009,2024-05-31,739790.0
T00213,P01313,A006,2024-12-22,6174961.0
T00214,P04294,A005,2023-10-11,6245050.0
T00215,P00378,A034,2024-11-16,7043757.0
T00216,P01928,A025,2024-07-09,4854310.0
T00217,P03537,A015,2024-10-04,5398246.0
T00218,P01080,A022,2024-01-06,8216196.0
T00219,P02076,A023,2024-08-06,1964879.0
T00220,P02854,A004,2024-03-14,8891909.0
T00221,P01936,A018,2024-05-11,3662006.0
T00222,P01985,A025,2024-10-31,5437564.0
T00223,P03289,A025,2024-03-20,3915970.0
T00224,P03978,A008,2023-08-01,3605326.0
T00225,P02306,A038,2024-07-24,6076342.0
T00226,P02030,A005,2024-07-08,3553739.0
T00227,P01251,A035,2023-03-03,4072837.0
T00228,P04901,A040,2024-08-30,6019984.0
T00229,P01534,A031,2024-04-28,5329593.0
T00230,P02008,A023,2025-01-22,3267074.0
T00231,P02087,A008,2024-01-09,1539951.0
T00232,P03985,A014,2024-03-21,4510781.0
T00233,P02795,A022,2024-12-14,7646190.0
T00234,P04463,A004,2024-07-26,3709616.0
T00235,P04634,A029,2024-02-11,8549164.0
T00236,P00852,A037,2024-10-04,1814738.0
T00237,P02393,A030,2024-02-23,4089159.0
T00238,P01579,A038,2024-07-05,2458256.0
T00239,P03340,A019,2024-05-07,5630346.0
T00240,P00993,A011,2024-09-25,1627534.0
T00241,P02281,A001,2023-12-22,1750067.0
T00242,P00328,A018,2024-12-03,1898520.0
T00243,P00379,A005,2025-04-11,7063663.0
T00244,P00006,A026,2024-03-18,1612954.0
T00245,P03285,A033,2024-02-12,4028281.0
T00246,P03159,A005,2024-05-17,2659956.0
T00247,P04033,A021,2024-11-16,2155774.0
T00248,P04986,A022,2025-01-12,2258269.0
T00249,P04162,A013,2024-12-10,4860106.0
T00250,P03851,A009,2024-11-19,5761488.0
T00251,P04923,A029,2025-01-02,4560903.0
T00252,P03553,A010,2024-05-28,4532557.0
T00253,P04618,A002,2023-05-28,6110992.0
T00254,P02601,A025,2024-07-29,7278710.0
T00255,P03609,A003,2023-11-18,3474278.0
T00256,P03952,A013,2024-05-21,8005705.0
T00257,P04552,A004,2024-02-09,1869887.0
T00258,P00348,A023,2024-07-19,1836945.0
T00259,P04066,A009,2024-01-20,1667710.0
T00260,P00243,A011,2023-12-27,4956364.0
T00261,P02657,A016,2024-03-31,10364593.0
T00262,P04934,A020,2024-12-11,1576403.0
T00263,P00980,A029,2024-10-18,5713417.0
T00264,P01267,A038,2023-09-04,4660790.0
T00265,P04515,A025,2024-01-22,6852784.0
T00266,P04320,A020,2023-12-29,3226682.0
T00267,P00078,A024,2024-12-13,8012691.0
T00268,P04277,A021,2023-03-11,2080427.0
T00269,P01071,A001,2024-03-21,3011781.0
T00270,P03779,A020,2024-06-14,1524012.0
T00271,P02952,A030,2023-10-10,6113129.0
T00272,P03305,A035,2023-04-26,3376976.0
T00273,P04693,A004,2023-11-07,2148716.0
T00274,P03940,A028,2023-06-13,6551914.0
T00275,P03876,A005,2024-04-05,8827078.0
T00276,P03601,A002,2023-11-20,3422810.0
T00277,P00522,A002,2024-05-04,8004373.0
T00278,P01639,A005,2024-05-22,6211492.0
T00279,P00226,A004,2024-09-20,3538794.0
T00280,P04173,A024,2024-09-23,8192565.0
T00281,P03718,A037,2025-01-17,3525325.0
T00282,P00788,A031,2024-01-17,3078135.0
T00283,P01441,A030,2024-06-29,5804735.0
T00284,P03835,A005,2024-05-26,5501006.0
T00285,P03709,A038,2023-12-22,4666800.0
T00286,P00824,A021,2024-04-30,4044573.0
T00287,P01723,A002,2023-10-06,2012575.0
T00288,P02102,A026,2023-10-06,1585597.0
T00289,P00902,A029,2024-01-18,4843029.0
T00290,P01722,A017,2024-08-05,5817123.0
T00291,P01986,A029,2023-09-04,3203578.0
T00292,P03852,A028,2024-02-18,3741566.0
T00293,P03692,A024,2024-04-01,3867192.0
T00294,P03199,A014,2024-10-26,1146103.0
T00295,P00519,A040,2024-05-09,4198916.0
T00296,P04020,A025,2023-09-05,3560779.0
T00297,P01081,A019,2023-08-26,1898245.0
T00298,P01394,A031,2023-08-30,8904826.0
T00299,P02825,A010,2023-06-13,8436978.0
T00300,P03661,A039,2024-01-05,
T00301,P04342,A030,2024-05-17,7970133.0
T00302,P04568,A026,2023-12-18,
T00303,P03522,A011,2024-10-04,3744826.0
T00304,P01755,A015,2023-05-28,9267013.0
T00305,P01489,A038,2024-08-16,9467214.0
T00306,P00409,A029,2024-02-12,2415281.0
T00307,P00107,A005,2024-03-16,6206600.0
T00308,P04206,A033,2024-02-25,7664361.0
T00309,P00154,A005,2024-08-19,
T00310,P00021,A017,2024-03-26,1348132.0
T00311,P00653,A017,2023-12-13,9261290.0
T00312,P01668,A015,2023-06-04,3232881.0
T00313,P04820,A020,2023-11-17,4703526.0
T00314,P00112,A007,2024-11-01,2919203.0
T00315,P00127,A027,2025-01-29,4514403.0
T00316,P02731,A028,2024-12-16,3805152.0
T00317,P04983,A035,2023-12-12,1740862.0
T00318,P04445,A018,2024-09-01,2101618.0
T00319,P03582,A022,2024-08-10,1619459.0
T00320,P01372,A006,2024-11-07,9266054.0
T00321,P02107,A014,2024-04-19,3836731.0
T00322,P04433,A023,2024-02-19,4599023.0
T00323,P02669,A017,2024-10-01,5146186.0
T00324,P04864,A040,2023-06-05,3543179.0
T00325,P00245,A012,2023-12-23,3871572.0
T00326,P04868,A003,2023-12-18,9390445.0
T00327,P01671,A035,2024-04-06,3788810.0
T00328,P02384,A021,2023-11-29,7430358.0
T00329,P01682,A003,2023-12-29,2809857.0
T00330,P04087,A038,2024-11-06,10396657.0
T00331,P01342,A009,2023-08-14,4813805.0
T00332,P03528,A039,2024-02-19,8986154.0
T00333,P04163,A014,2023-12-12,6285566.0
T00334,P03928,A014,2024-07-26,4041974.0
T00335,P04692,A009,2024-03-06,699012.0
T00336,P01834,A007,2023-10-06,5140662.0
T00337,P01910,A033,2023-12-30,7184239.0
T00338,P00700,A017,2023-05-20,5889088.0
T00339,P01761,A023,2024-08-02,3343608.0
T00340,P02944,A013,2023-11-12,6897625.0
T00341,P03449,A017,2024-12-14,1394882.0
T00342,P02261,A020,2023-11-11,3897933.0
T00343,P00123,A013,2024-08-27,6420806.0
T00344,P00340,A024,2024-11-10,4475096.0
T00345,P01497,A019,2024-02-11,9501002.0
T00346,P00638,A031,2024-12-01,11102827.0
T00347,P04965,A032,2024-10-05,7002435.0
T00348,P03657,A026,2024-08-08,2579822.0
T00349,P02072,A005,2024-01-07,1329645.0
T00350,P02173,A036,2024-04-30,4714157.0
T00351,P02768,A028,2024-02-22,1590061.0
T00352,P04924,A030,2023-08-12,7324778.0
T00353,P02070,A026,2025-02-20,2267280.0
T00354,P03525,A021,2023-09-05,8754070.0
T00355,P01172,A023,2023-12-21,2071353.0
T00356,P04230,A005,2024-03-13,3248565.0
T00357,P00308,A037,2024-10-09,3890302.0
T00358,P00342,A033,,3670309.0
T00359,P02474,A037,2024-03-01,4437436.0
T00360,P00548,A029,2024-07-31,2920885.0
T00361,P00202,A011,2024-04-18,8655465.0
T00362,P01233,A014,2024-04-23,1668650.0
T00363,P03509,A035,2024-08-28,3086000.0
T00364,P04670,A010,2023-08-16,3971307.0
T00365,P03004,A025,2024-04-24,7037147.0
T00366,P03496,A027,2023-07-17,4721585.0
T00367,P00149,A008,2024-07-26,6090433.0
T00368,P03919,A004,2024-03-27,5244179.0
T00369,P02233,A002,2024-06-17,5595127.0
T00370,P02402,A032,2024-09-07,5159150.0
T00371,P04031,A012,2024-12-17,6804611.0
T00372,P03210,A010,2023-08-12,5748082.0
T00373,P04521,A037,2023-06-13,2000414.0
T00374,P02330,A024,2024-03-04,2099304.0
T00375,P00538,A001,2023-05-07,3214400.0
T00376,P04334,A013,2025-03-27,5650677.0
T00377,P02276,A020,2023-10-27,4201042.0
T00378,P00247,A020,2024-03-05,5415807.0
T00379,P01338,A032,2024-11-27,2025691.0
T00380,P04166,A033,2024-11-28,11084008.0
T00381,P02730,A002,2023-12-09,980702.0
T00382,P00889,A012,,5928402.0
T00383,P00718,A025,2024-08-27,5105449.0
T00384,P03902,A002,2025-01-15,6745105.0
T00385,P04536,A023,2023-06-19,3953197.0
T00386,P00922,A004,2024-03-31,1691313.0
T00387,P04776,A023,2024-10-29,1625814.0
T00388,P01555,A003,2025-03-20,1156539.0
T00389,P00499,A030,2024-05-09,12763799.0
T00390,P04124,A019,2023-07-23,4401241.0
T00391,P02856,A039,2023-11-11,6260549.0
T00392,P01560,A004,2023-12-24,1568787.0
T00393,P03962,A035,2024-02-02,5329960.0
T00394,P01524,A017,2024-05-13,7196261.0
T00395,P04204,A020,2024-04-29,6341227.0
T00396,P03216,A028,2023-12-19,5629909.0
T00397,P01540,A025,2023-04-08,6090745.0
T00398,P02174,A036,2024-10-01,4659165.0
T00399,P04548,A034,2024-04-22,2637848.0
T00400,P03433,A009,2025-04-09,6144761.0
T00401,P03013,A011,2024-03-17,1684214.0
T00402,P04456,A036,2024-06-01,2608153.0
T00403,P00819,A033,2023-11-09,
T00404,P01021,A040,2024-01-25,6497836.0
T00405,P00088,A037,2023-12-02,4152275.0
T00406,P01561,A026,2023-10-26,4429307.0
T00407,P00391,A039,2024-09-01,5626608.0
T00408,P00963,A030,2023-09-25,2069595.0
T00409,P04990,A036,2024-08-29,6337381.0
T00410,P04466,A020,2024-01-29,5016448.0
T00411,P00696,A039,2024-04-18,2675949.0
T00412,P01599,A003,2024-04-14,1977987.0
T00413,P01425,A037,2023-12-12,4972471.0
T00414,P01415,A039,2024-09-07,2391135.0
T00415,P02053,A032,2023-12-10,4031717.0
T00416,P01970,A038,2024-02-17,2769641.0
T00417,P00573,A017,2024-05-14,2943337.0
T00418,P01223,A013,2023-08-31,7884111.0
T00419,P04405,A006,2023-08-08,6453508.0
T00420,P00440,A008,2024-04-11,1514132.0
T00421,P03874,A035,2023-10-10,3621643.0
T00422,P02509,A003,2023-03-04,7549473.0
T00423,P01824,A009,2023-12-21,1828320.0
T00424,P02704,A020,2024-06-27,2458422.0
T00425,P02178,A015,2023-07-07,3227134.0
T00426,P02569,A037,2023-05-20,4796246.0
T00427,P01556,A002,2024-04-01,2219539.0
T00428,P01989,A002,2024-06-18,5865789.0
T00429,P04005,A011,2024-03-28,2883035.0
T00430,P04367,A025,2024-09-13,7293713.0
T00431,P03499,A015,2023-09-12,3351383.0
T00432,P00853,A034,2024-04-05,7604767.0
T00433,P03261,A004,2023-08-09,4859430.0
T00434,P01916,A016,2023-10-08,2574019.0
T00435,P03239,A026,2024-05-01,8220057.0
T00436,P03598,A025,2023-08-11,4702792.0
T00437,P04846,A021,2024-09-28,8197932.0
T00438,P04921,A018,2023-11-09,3927285.0
T00439,P03504,A004,2024-06-27,1902068.0
T00440,P01049,A003,2024-02-28,1263800.0
T00441,P03302,A003,2025-01-18,4257251.0
T00442,P01499,A021,2024-08-27,1743963.0
T00443,P02663,A036,2024-01-01,5280077.0
T00444,P02714,A004,2024-06-20,1397782.0
T00445,P03251,A003,2024-06-20,3177204.0
T00446,P02523,A028,2024-11-28,4539629.0
T00447,P02095,A021,2024-03-12,1462808.0
T00448,P03313,A013,2025-03-15,2997286.0
T00449,P03689,A001,2024-06-08,2878111.0
T00450,P03071,A033,2025-02-03,7630045.0
T00451,P01113,A027,2023-04-06,2614031.0
T00452,P04704,A024,2024-08-09,4721749.0
T00453,P03587,A010,2024-01-22,6671941.0
T00454,P00774,A038,2024-05-14,3418297.0
T00455,P00292,A003,2024-11-11,5501990.0
T00456,P02881,A030,2025-01-01,10897385.0
T00457,P02503,A030,2023-12-03,6456353.0
T00458,P04847,A029,2023-06-03,2604325.0
T00459,P04289,A025,2023-11-25,3477414.0
T00460,P00521,A013,2023-12-18,1112016.0
T00461,P02361,A019,2024-04-24,7726739.0
T00462,P00295,A018,2024-12-29,1375243.0
T00463,P04019,A035,2025-02-03,2352302.0
T00464,P04877,A030,2024-05-09,3050942.0
T00465,P03366,A020,2024-03-02,8225903.0
T00466,P04635,A029,2024-07-21,4572644.0
T00467,P02560,A039,2023-07-05,2819258.0
T00468,P02376,A028,2024-01-21,2832438.0
T00469,P04926,A015,2024-12-14,3966198.0
T00470,P00290,A001,2023-08-31,6667847.0
T00471,P02530,A036,2024-01-12,3327687.0
T00472,P01949,A001,2023-11-18,6291476.0
T00473,P01557,A021,2024-02-12,5073008.0
T00474,P03995,A003,2024-10-03,5441347.0
T00475,P03338,A036,2023-12-08,4218139.0
T00476,P02970,A002,2023-10-30,2620037.0
T00477,P04658,A028,2024-07-30,4490103.0
T00478,P04617,A031,2024-11-11,1271312.0
T00479,P04935,A030,2024-05-31,8601439.0
T00480,P02914,A022,2023-09-30,8181527.0
T00481,P01411,A024,2024-04-23,6550211.0
T00482,P02646,A021,2024-03-15,4405001.0
T00483,P03923,A031,2024-08-24,1956061.0
T00484,P04895,A004,2024-01-09,1311628.0
T00485,P01666,A036,2024-06-29,5286970.0
T00486,P01130,A031,2023-10-23,973300.0
T00487,P00334,A039,,7710673.0
T00488,P04615,A004,2023-07-22,3342238.0
T00489,P02496,A009,2024-09-13,4816545.0
T00490,P01523,A009,2024-01-21,7660690.0
T00491,P03161,A017,2024-01-29,7693867.0
T00492,P04485,A033,2023-10-15,4704128.0
T00493,P03227,A032,2024-07-01,3439458.0
T00494,P02154,A028,2023-10-28,7018186.0
T00495,P03184,A016,2023-08-07,6835696.0
T00496,P00080,A004,2024-09-19,4349138.0
T00497,P02412,A028,2023-09-04,2046371.0
T00498,P03780,A003,2025-01-13,7646421.0
T00499,P03586,A009,2025-01-28,9216004.0
T00500,P04255,A017,2023-10-02,3284160.0
T00501,P01518,A032,2023-08-09,6166850.0
T00502,P03143,A025,2024-09-19,2563847.0
T00503,P01353,A005,2024-05-14,4299580.0
T00504,P01649,A010,2024-07-01,6750739.0
T00505,P00769,A034,2023-08-20,1062857.0
T00506,P04339,A024,2023-09-10,6077188.0
T00507,P01712,A027,2024-11-08,1548714.0
T00508,P03401,A015,2024-10-06,3507984.0
T00509,P03222,A033,2023-04-10,3825584.0
T00510,P02285,A024,2023-08-23,6296020.0
T00511,P00998,A004,2023-08-06,6244745.0
T00512,P03113,A030,2025-01-11,5596793.0
T00513,P01647,A012,2024-02-12,2565010.0
T00514,P02553,A034,2024-12-23,4052336.0
T00515,P02815,A026,2024-10-27,3052571.0
T00516,P04321,A008,2024-07-13,7346036.0
T00517,P02744,A002,2024-04-05,2950597.0
T00518,P00416,A004,2023-11-17,6936426.0
T00519,P01786,A010,2024-10-28,7829429.0
T00520,P01588,A005,2024-08-18,2206735.0
T00521,P03884,A027,2024-01-31,1178244.0
T00522,P02260,A007,2023-04-21,10501765.0
T00523,P00419,A018,2023-10-26,4392769.0
T00524,P03091,A013,2023-02-28,5213174.0
T00525,P04299,A027,2024-09-09,3780845.0
T00526,P01963,A002,2023-11-04,5305602.0
T00527,P03494,A017,2024-10-15,6436058.0
T00528,P03246,A034,2024-11-18,3263967.0
T00529,P01093,A010,2024-01-18,3586755.0
T00530,P00532,A034,2023-12-31,3616119.0
T00531,P04745,A007,2023-12-18,4474496.0
T00532,P01573,A029,2024-05-11,8241575.0
T00533,P03740,A012,2024-05-28,4533065.0
T00534,P00812,A015,2024-08-19,4018455.0
T00535,P01068,A021,2024-07-26,10121072.0
T00536,P02660,A029,2024-01-04,2919095.0
T00537,P03234,A022,2024-08-16,2773059.0
T00538,P00266,A023,2024-03-21,7238623.0
T00539,P03115,A012,2023-08-21,2801438.0
T00540,P01905,A027,2023-10-15,2356110.0
T00541,P01663,A003,2024-11-24,3285977.0
T00542,P02200,A004,2023-02-05,7795782.0
T00543,P00420,A007,2023-09-26,8534953.0
T00544,P03899,A035,2023-05-30,2488875.0
T00545,P03797,A025,2024-08-14,9808984.0
T00546,P01265,A014,2024-01-30,3693125.0
T00547,P02404,A026,2023-10-26,8996130.0
T00548,P01307,A011,2023-06-29,5477152.0
T00549,P01010,A030,2024-05-31,5337097.0
T00550,P01629,A016,2024-12-11,5532287.0
T00551,P01024,A025,2024-06-03,2872743.0
T00552,P00580,A010,2024-04-23,5725606.0
T00553,P02370,A002,2025-02-15,10194293.0
T00554,P03402,A040,2023-08-22,6849054.0
T00555,P02539,A027,2024-11-21,1653480.0
T00556,P02231,A026,2023-11-18,896957.0
T00557,P05000,A025,2025-04-15,5208834.0
T00558,P02062,A036,2024-06-25,7272415.0
T00559,P02262,A001,2023-04-25,6431735.0
T00560,P04814,A039,2023-06-04,3679359.0
T00561,P02002,A019,2023-12-27,3601432.0
T00562,P01610,A024,2023-02-13,10386550.0
T00563,P02322,A038,2024-06-28,2776687.0
T00564,P03323,A033,2023-10-03,3259582.0
T00565,P04357,A015,2024-12-09,5080799.0
T00566,P04459,A037,2024-12-14,2575969.0
T00567,P01632,A004,2025-01-13,1037662.0
T00568,P04842,A007,2023-11-23,2797629.0
T00569,P02611,A010,2024-05-02,3873290.0
T00570,P00371,A011,2024-09-28,1597852.0
T00571,P03630,A027,2025-02-04,3293379.0
T00572,P02234,A017,2024-08-26,2407077.0
T00573,P00005,A035,2023-12-27,8757786.0
T00574,P04989,A025,2023-10-02,5504411.0
T00575,P01756,A025,2023-08-30,3405124.0
T00576,P02245,A031,2024-05-15,6865432.0
T00577,P03554,A017,2023-08-21,4755046.0
T00578,P03332,A014,2023-10-31,7898474.0
T00579,P01650,A005,2024-04-16,5629757.0
T00580,P02186,A034,2024-01-23,2264743.0
T00581,P04113,A010,2024-01-05,8544993.0
T00582,P02834,A027,2023-09-24,5577971.0
T00583,P03097,A032,2024-05-07,8125261.0
