property_id,listed_date,asking_price
P00158,2023-05-05,3494220.0
P00159,2023-09-08,7738502.0
P00160,2024-06-09,1686782.0
P00161,2023-03-05,6477691.0
P00162,2023-04-16,3249656.0
P00163,2024-01-10,2315426.0
P00164,2024-05-25,3073163.0
P00165,2024-09-15,10183305.0
P00166,2024-01-11,9477767.0
P00167,2024-02-24,5882076.0
P00168,2023-07-04,8335716.0
P00169,2023-09-19,3051213.0
P00170,2023-07-20,4096734.0
P00171,2023-03-11,8691534.0
P00172,2023-08-25,2674708.0
P00173,2023-05-20,4425416.0
P00174,2024-01-13,2561958.0
P00175,2024-04-26,4157735.0
P00176,2024-09-17,3306042.0
P00177,2024-07-16,4029244.0
P00178,2023-07-23,6602528.0
P00179,2024-08-22,8259204.0
P00180,2024-08-24,5890639.0
P00181,2023-11-18,3632456.0
P00182,2023-05-12,2665708.0
P00183,2024-05-11,3800625.0
P00184,2023-03-14,1634506.0
P00185,2023-08-19,6051414.0
P00186,2023-12-07,2227230.0
P00187,2024-07-05,4092807.0
P00188,2024-09-15,5341770.0
P00189,2024-06-06,10536486.0
P00190,2023-11-06,8540834.0
P00191,2023-02-24,980400.0
P00192,2024-05-26,5117341.0
P00193,2024-07-01,4330075.0
P00194,2023-10-29,3450175.0
P00195,2023-12-21,5158955.0
P00196,2024-06-27,9709697.0
P00197,2023-03-26,2734720.0
P00198,2024-06-03,5397309.0
P00199,2023-11-24,4124171.0
P00200,2024-03-14,8413263.0
P00201,2023-05-02,2393844.0
P00202,2024-01-29,9802224.0
P00203,2023-06-21,6993566.0
P00204,2023-11-28,4032195.0
P00205,2023-12-02,6203404.0
P00206,2024-09-03,7468144.0
P00207,2024-03-04,8938711.0
P00208,2023-12-23,2624013.0
P00209,2023-09-14,1360311.0
P00210,2023-08-04,7807764.0
P00211,2024-02-21,1965897.0
P00212,2024-07-17,2875749.0
P00213,2024-01-01,6956353.0
P00214,2024-02-26,2911252.0
P00215,2023-07-29,7457506.0
P00216,2023-12-23,3367320.0
P00217,2024-01-01,3042670.0
P00218,2024-03-11,1622813.0
P00219,2023-07-22,2637050.0
P00220,2023-08-11,1155606.0
P00221,2023-08-18,4520112.0
P00222,2023-09-26,4647308.0
P00223,2023-07-06,4215897.0
P00224,2023-05-05,6311115.0
P00225,2023-11-16,4387806.0
P00226,2024-06-30,3714513.0
P00227,2023-01-21,1855822.0
P00228,2024-03-01,2251839.0
P00229,2024-06-05,10750073.0
P00230,2024-06-10,6773771.0
P00231,2024-06-28,5582757.0
P00232,2023-07-22,7321652.0
P00233,2023-03-06,2878763.0
P00234,2024-09-28,2011830.0
P00235,2024-03-23,5296327.0
P00236,2023-08-17,4671015.0
P00237,2024-06-28,5616100.0
P00238,2023-08-15,6946866.0
P00239,2024-04-23,3324430.0
P00240,2024-09-05,5562594.0
P00241,2024-05-05,4374653.0
P00242,2024-02-23,2852164.0
P00243,2023-05-03,4805748.0
P00244,2024-08-19,4988028.0
P00245,2023-09-30,4078733.0
P00246,2024-02-03,1587613.0
P00247,2024-01-26,5647846.0
P00248,2023-06-07,2637858.0
P00249,2024-01-21,6286668.0
P00250,2023-09-07,5527654.0
P00251,2023-08-12,12131979.0
P00252,2024-07-02,5820732.0
P00253,2024-04-06,3714429.0
P00254,2023-11-09,8802706.0
P00255,2023-01-13,7981758.0
P00256,2024-03-29,2170086.0
P00257,2024-04-16,6093122.0
P00258,2023-04-17,3523544.0
P00259,2024-04-28,5218123.0
P00260,2023-09-13,2119857.0
P00261,2024-04-13,2683376.0
P00262,2024-06-20,3925477.0
P00263,2024-03-23,4111012.0
P00264,2024-08-24,1573174.0
P00265,2023-02-18,2047704.0
P00266,2023-07-27,7028606.0
P00267,2023-02-07,8873445.0
P00268,2023-04-21,5232829.0
P00269,2023-08-27,6807908.0
P00270,2023-01-15,6643297.0
P00271,2023-09-11,5223132.0
P00272,2023-03-23,3245971.0
P00273,2023-03-14,5931643.0
P00274,2024-06-17,1125023.0
P00275,2024-04-20,3246631.0
P00276,2023-10-19,5097901.0
P00277,2023-12-29,3457301.0
P00278,2023-07-06,2511741.0
P00279,2023-11-07,2127283.0
P00280,2024-05-10,11094509.0
P00281,2023-11-30,3008218.0
P00282,2024-05-22,1132203.0
P00283,2023-11-06,6665557.0
P00284,2023-08-20,3973548.0
P00285,2024-07-25,5940801.0
P00286,2024-07-29,6266484.0
P00287,2023-05-27,3048802.0
P00288,2023-10-23,3963819.0
P00289,2024-05-08,8908940.0
P00290,2023-06-16,6799256.0
P00291,2024-04-23,1992935.0
P00292,2024-07-28,5353546.0
P00293,2023-05-31,5543723.0
P00294,2023-04-08,2586203.0
P00295,2024-08-26,1478758.0
P00296,2024-09-28,6701396.0
P00297,2024-07-02,2805533.0
P00298,2024-01-27,8687210.0
P00299,2023-02-24,2659213.0
P00300,2024-08-07,8186426.0
P00301,2023-05-08,9255681.0
P00302,2023-04-25,3240972.0
P00303,2024-04-03,2485254.0
P00304,2023-09-06,4017607.0
P00305,2024-07-08,6354250.0
P00306,2024-07-12,7600445.0
P00307,2024-05-29,2169944.0
P00308,2024-06-18,3914508.0
P00309,2023-12-15,10163965.0
P00310,2024-07-11,2535326.0
P00311,2024-08-07,6532866.0
P00312,2023-06-29,3196175.0
P00313,2023-09-29,5532373.0
P00314,2024-01-30,2763332.0
P00315,2024-07-03,5331013.0
P00316,2023-09-06,6935672.0
P00317,2023-06-16,2780422.0
P00318,2023-07-24,2133907.0
P00319,2024-05-25,7692922.0
P00320,2023-11-29,1471162.0
P00321,2023-06-12,7838556.0
P00322,2024-04-01,1301298.0
P00323,2024-02-26,4634152.0
P00324,2023-11-28,11108592.0
P00325,2024-01-31,3777199.0
P00326,2023-05-28,2424938.0
P00327,2023-04-27,6905143.0
P00328,2024-05-30,2177940.0
P00329,2024-03-10,5134012.0
P00330,2024-09-16,3525853.0
P00331,2024-08-22,4385472.0
P00332,2023-08-20,3603447.0
P00333,2023-10-23,1971507.0
P00334,2024-06-26,8187176.0
P00335,2023-01-03,6519284.0
P00336,2024-07-06,8188373.0
P00337,2023-04-18,3566170.0
P00338,2023-06-16,2338514.0
P00339,2023-11-04,4254088.0
P00340,2024-03-26,4593224.0
P00341,2023-08-15,3397182.0
P00342,2024-08-22,3965306.0
P00343,2024-05-15,8392697.0
P00344,2024-04-17,1299942.0
P00345,2024-05-08,2775578.0
P00346,2023-01-20,2710169.0
P00347,2024-06-09,2422611.0
P00348,2024-01-22,1760988.0
P00349,2023-04-29,3611681.0
P00350,2024-05-12,2563446.0
P00351,2023-03-09,4849864.0
P00352,2024-01-30,3356235.0
P00353,2023-12-30,8138415.0
P00354,2023-01-19,1869888.0
P00355,2023-08-28,3887536.0
P00356,2023-03-18,1801717.0
P00357,2024-08-27,5363862.0
P00358,2024-05-27,4071474.0
P00359,2024-09-28,8696226.0
P00360,2023-11-08,2835977.0
P00361,2023-07-30,9461469.0
P00362,2024-09-04,2478513.0
P00363,2023-07-16,1819149.0
P00364,2023-09-23,1654058.0
P00365,2023-03-27,4799923.0
P00366,2024-06-09,3039049.0
P00367,2023-03-18,1329418.0
P00368,2023-01-23,4880742.0
P00369,2024-06-16,9124286.0
P00370,2024-06-21,5697619.0
P00371,2024-06-29,1602613.0
P00372,2024-07-02,6529639.0
P00373,2023-04-01,2551703.0
P00374,2023-08-20,3323742.0
P00375,2024-05-03,3429308.0
P00376,2023-07-17,5178034.0
P00377,2024-05-12,10412666.0
P00378,2024-08-04,6954504.0
P00379,2024-09-06,7907106.0
P00380,2024-05-11,5295670.0
P00381,2024-05-24,5182494.0
P00382,2024-01-18,3811668.0
P00383,2023-02-19,4482652.0
P00384,2023-10-06,2510524.0
P00385,2024-09-01,5078231.0
P00386,2024-08-05,4672095.0
P00387,2023-06-02,4327175.0
P00388,2024-04-22,7655347.0
P00389,2023-07-16,2584039.0
P00390,2023-09-24,2146847.0
P00391,2024-02-19,5591065.0
P00392,2023-11-14,3235764.0
P00393,2024-01-22,2032472.0
P00394,2023-03-04,3572556.0
P00395,2023-07-09,6680662.0
P00396,2024-06-02,1856701.0
P00397,2024-01-31,4693354.0
P00398,2024-06-21,3735342.0
P00399,2024-09-08,9770532.0
P00400,2023-08-16,7561179.0
P00401,2023-06-18,1327223.0
P00402,2023-07-17,5403222.0
P00403,2024-01-01,3621604.0
P00404,2023-06-11,4090870.0
P00405,2023-09-07,8289622.0
P00406,2023-04-21,2722688.0
P00407,2023-09-04,4949717.0
P00408,2024-08-28,8115843.0
P00409,2023-09-28,2776671.0
P00410,2024-04-30,3964167.0
P00411,2023-10-03,7662209.0
P00412,2023-10-04,2034323.0
P00413,2024-02-25,4833789.0
P00414,2023-03-12,4002262.0
P00415,2023-08-16,1565236.0
P00416,2023-03-31,8139129.0
P00417,2023-05-08,4060178.0
P00418,2024-03-29,7971644.0
P00419,2023-04-22,5063958.0
P00420,2023-05-10,9653854.0
P00421,2024-01-02,11734217.0
P00422,2023-08-11,6008924.0
P00423,2023-03-20,2704210.0
P00424,2024-09-03,2786548.0
P00425,2024-08-12,7673705.0
P00426,2024-01-07,4731659.0
P00427,2023-12-02,4421171.0
P00428,2024-05-31,3024295.0
P00429,2024-09-14,13510548.0
P00430,2023-03-08,8488330.0
P00431,2023-03-04,3616911.0
P00432,2023-07-31,7515781.0
P00433,2023-07-14,4713435.0
P00434,2024-07-26,1355805.0
P00435,2023-11-21,12583193.0
P00436,2024-06-01,8798381.0
P00437,2024-03-02,11176389.0
P00438,2024-04-07,5098499.0
P00439,2024-09-03,4108287.0
P00440,2024-01-11,1592444.0
P00441,2024-05-11,3501328.0
P00442,2023-06-21,2691930.0
P00443,2023-06-15,8825548.0
P00444,2024-01-10,9471027.0
P00445,2024-07-30,1340068.0
P00446,2023-02-02,5718398.0
P00447,2023-11-17,2914527.0
P00448,2023-05-10,3322201.0
P00449,2024-07-19,3819854.0
P00450,2023-11-28,5410446.0
P00451,2023-01-27,5591086.0
P00452,2023-01-02,9592824.0
P00453,2024-02-13,7228095.0
P00454,2023-05-29,6933217.0
P00455,2023-01-27,6238312.0
P00456,2023-04-08,7899813.0
P00457,2023-04-09,5497034.0
P00458,2023-08-09,3133428.0
P00459,2024-04-03,9514551.0
P00460,2024-07-02,9853738.0
P00461,2024-08-28,12154000.0
P00462,2024-05-20,4996300.0
P00463,2023-04-16,6021664.0
P00464,2024-04-14,5380383.0
P00465,2023-05-28,7428773.0
P00466,2024-09-07,2716753.0
P00467,2024-06-25,6014339.0
P00468,2023-02-11,4758374.0
P00469,2023-04-21,3977636.0
P00470,2023-10-10,9105832.0
P00471,2024-04-18,4319967.0
P00472,2023-12-19,3371419.0
P00473,2023-02-24,10140116.0
P00474,2024-02-06,8221690.0
P00475,2024-02-19,3796648.0
P00476,2024-08-17,5131759.0
P00477,2023-06-19,6889742.0
P00478,2023-01-25,3296440.0
P00479,2024-04-23,8966935.0
P00480,2024-03-25,2573916.0
P00481,2023-11-28,2456928.0
P00482,2024-03-18,5818354.0
P00483,2023-04-25,6428772.0
P00484,2023-03-22,5657313.0
P00485,2023-09-15,7436172.0
P00486,2024-07-25,5486477.0
P00487,2023-11-25,3387263.0
P00488,2024-02-13,6786082.0
P00489,2023-07-13,6534194.0
P00490,2023-11-03,1909829.0
P00491,2024-03-14,7364334.0
P00492,2023-04-07,5374183.0
P00493,2023-09-14,5790837.0
P00494,2023-12-21,7860038.0
P00495,2023-07-14,2548545.0
P00496,2023-05-21,8420397.0
P00497,2023-10-07,7967373.0
P00498,2024-07-16,6437203.0
P00499,2023-09-23,12479134.0
P00500,2024-06-16,4562339.0
P00501,2024-03-08,2022214.0
P00502,2023-03-24,8578252.0
P00503,2024-08-07,7503707.0
P00504,2024-01-11,2934159.0
P00505,2023-12-30,4681958.0
P00506,2024-03-21,3085385.0
P00507,2023-01-27,11610968.0
P00508,2023-06-10,1367256.0
P00509,2024-02-05,4581174.0
P00510,2023-09-06,4188339.0
P00511,2023-10-23,1169157.0
P00512,2024-01-31,5493330.0
P00513,2023-11-05,7685457.0
P00514,2023-10-20,9574843.0
P00515,2023-12-19,5992134.0
P00516,2023-06-29,2361801.0
P00517,2023-12-31,3654086.0
P00518,2024-03-18,1339875.0
P00519,2024-03-29,4163682.0
P00520,2024-02-01,7429643.0
P00521,2023-10-17,1143440.0
P00522,2024-02-23,8083838.0
P00523,2024-04-06,6273279.0
P00524,2023-07-18,2947019.0
P00525,2023-11-07,11030757.0
P00526,2024-03-09,4224013.0
P00527,2024-02-28,7112826.0
P00528,2023-11-13,2949743.0
P00529,2023-06-18,3460248.0
P00530,2024-08-04,6608812.0
P00531,2023-12-13,9441229.0
P00532,2023-12-12,3658422.0
P00533,2023-10-27,6677299.0
P00534,2024-04-30,4792461.0
P00535,2023-07-13,4594449.0
P00536,2024-08-21,6247103.0
P00537,2023-02-09,8365215.0
P00538,2023-01-08,3715020.0
P00539,2023-11-23,2596748.0
P00540,2024-07-03,2957864.0
P00541,2023-01-07,4828772.0
P00542,2024-03-09,2190671.0
P00543,2023-09-07,1879613.0
P00544,2023-01-14,6602262.0
P00545,2023-08-25,1982219.0
P00546,2024-02-18,4595368.0
P00547,2024-02-09,5116255.0
P00548,2024-06-26,3276505.0
P00549,2024-09-22,3964320.0
P00550,2023-02-04,1503549.0
P00551,2024-07-02,6413501.0
P00552,2023-01-07,5725213.0
P00553,2024-09-15,9820493.0
P00554,2024-05-09,6898960.0
P00555,2024-08-30,3075002.0
P00556,2023-02-13,1827787.0
P00557,2023-02-17,3090773.0
P00558,2024-09-21,2329304.0
P00559,2023-06-30,3493394.0
P00560,2023-09-01,2661805.0
P00561,2023-07-09,4643211.0
P00562,2023-04-11,4686931.0
P00563,2023-02-15,2850957.0
P00564,2023-03-28,8659058.0
P00565,2024-06-25,7796450.0
P00566,2023-01-18,5850349.0
P00567,2024-07-26,2906180.0
P00568,2023-05-21,3160341.0
P00569,2024-01-22,3843060.0
P00570,2023-06-14,5304305.0
P00571,2024-07-23,3019121.0
P00572,2023-01-26,4174556.0
P00573,2024-04-01,2860119.0
P00574,2024-08-20,3165673.0
P00575,2023-10-09,6276162.0
P00576,2023-10-16,1984393.0
P00577,2023-04-06,3679811.0
P00578,2024-07-15,3308498.0
P00579,2024-09-04,3651019.0
P00580,2023-11-14,6468439.0
P00581,2024-03-18,2938204.0
P00582,2024-04-29,5070699.0
P00583,2023-08-15,8422376.0
P00584,2023-01-03,5935559.0
P00585,2023-03-24,3833767.0
P00586,2024-07-27,5001931.0
P00587,2024-05-25,2419736.0
P00588,2023-03-02,3166334.0
P00589,2024-05-27,10857193.0
P00590,2024-07-18,2661023.0
P00591,2023-12-13,5956002.0
P00592,2023-10-16,1872159.0
P00593,2024-09-30,5008211.0
P00594,2024-07-11,5726465.0
P00595,2023-09-04,7975513.0
P00596,2023-11-01,5817868.0
P00597,2024-08-24,10257217.0
P00598,2024-08-11,2309510.0
P00599,2024-02-07,5676602.0
P00600,2024-02-19,1242946.0
P00601,2024-04-15,7759036.0
P00602,2023-07-04,9425892.0
P00603,2024-08-09,9399203.0
P00604,2023-07-07,8701788.0
P00605,2024-06-15,2317817.0
P00606,2024-06-08,5236343.0
P00607,2023-07-04,4348296.0
P00608,2024-05-31,2767048.0
P00609,2024-07-08,5343273.0
P00610,2023-11-14,7816456.0
P00611,2023-12-11,4264997.0
P00612,2023-11-22,8092918.0
P00613,2023-01-29,6582443.0
P00614,2023-12-12,5220184.0
P00615,2024-03-06,6708348.0
P00616,2023-12-25,7054767.0
P00617,2023-11-16,9607995.0
P00618,2023-11-17,10371408.0
P00619,2023-12-09,2647176.0
P00620,2024-08-16,4615273.0
P00621,2023-09-20,7789735.0
P00622,2023-05-24,7201739.0
P00623,2023-02-10,3761810.0
P00624,2024-07-10,5956724.0
P00625,2023-04-26,6888291.0
P00626,2023-09-24,4944883.0
P00627,2024-04-28,5026192.0
P00628,2023-04-25,9937653.0
P00629,2023-05-30,4177189.0
P00630,2024-02-10,4428753.0
P00631,2024-02-06,766816.0
P00632,2023-06-05,1648749.0
P00633,2023-12-13,11284048.0
P00634,2024-03-25,3362189.0
P00635,2023-05-22,6988624.0
P00636,2023-10-11,6084556.0
P00637,2023-06-29,4591412.0
P00638,2024-08-23,11420214.0
P00639,2023-09-03,5336185.0
P00640,2024-06-30,5518683.0
P00641,2024-07-16,2313755.0
P00642,2023-04-18,5170983.0
P00643,2024-08-24,4443119.0
P00644,2023-02-01,10685044.0
P00645,2023-09-05,2044033.0
P00646,2023-04-12,4807376.0
P00647,2023-01-30,1016898.0
P00648,2023-12-19,3287123.0
P00649,2024-01-19,4499691.0
P00650,2024-01-07,1808780.0
P00651,2023-09-24,2904510.0
P00652,2024-05-17,5122820.0
P00653,2023-11-11,10626081.0
P00654,2023-12-08,908084.0
P00655,2023-10-10,7106226.0
P00656,2023-05-13,5192827.0
P00657,2024-02-23,1295032.0
P00658,2024-06-13,4252086.0
P00659,2023-07-14,3593401.0
P00660,2023-10-24,5835323.0
P00661,2024-07-24,4404805.0
P00662,2023-05-13,4799080.0
P00663,2023-09-27,5170304.0
P00664,2023-06-22,4704152.0
P00665,2023-08-07,1724010.0
P00666,2023-10-21,3625108.0
P00667,2024-08-12,4375308.0
P00668,2023-01-08,5441732.0
P00669,2023-08-17,3544965.0
P00670,2024-07-07,4239831.0
P00671,2023-02-23,7705514.0
P00672,2023-11-20,5475425.0
P00673,2023-04-10,8663400.0
P00674,2023-12-24,5249079.0
P00675,2024-02-10,8222505.0
P00676,2023-12-26,3847860.0
P00677,2024-04-19,2064784.0
P00678,2023-12-08,4444845.0
P00679,2024-01-27,1335444.0
P00680,2023-02-22,7912720.0
P00681,2023-01-14,3634387.0
P00682,2023-04-15,1549491.0
P00683,2023-12-11,1944534.0
P00684,2023-09-11,2756423.0
P00685,2023-08-22,2489268.0
P00686,2023-10-14,4384673.0
P00687,2024-09-24,4932391.0
P00688,2023-08-29,9515537.0
P00689,2023-10-11,3519942.0
P00690,2023-11-18,5200557.0
P00691,2024-05-09,5752190.0
P00692,2024-04-13,5059839.0
P00693,2024-09-17,7591782.0
P00694,2024-02-11,5654432.0
P00695,2024-09-01,1438427.0
P00696,2024-01-26,2899878.0
P00697,2023-12-10,2273671.0
P00698,2023-12-23,4784224.0
P00699,2023-11-03,4012062.0
P00700,2023-05-09,6190414.0
P00701,2023-08-23,4621959.0
P00702,2024-01-22,4287086.0
P00703,2024-01-23,4442460.0
P00704,2023-04-12,3485129.0
P00705,2024-05-28,3058024.0
P00706,2024-03-31,5675235.0
P00707,2023-12-02,1682362.0
P00708,2023-10-17,1233238.0
P00709,2023-12-23,5702252.0
P00710,2024-01-07,5842845.0
P00711,2023-10-01,3024054.0
P00712,2024-07-05,3238080.0
P00713,2023-04-12,5752573.0
P00714,2023-08-27,4702280.0
P00715,2023-09-12,8776424.0
P00716,2023-03-05,3052471.0
P00717,2023-02-26,2291720.0
P00718,2024-07-23,4932161.0
P00719,2024-05-09,3601710.0
P00720,2023-08-22,6623548.0
P00721,2023-06-20,4602846.0
P00722,2023-09-17,3796915.0
P00723,2024-03-26,1757612.0
P00724,2023-07-09,3334660.0
P00725,2023-02-12,3752126.0
P00726,2023-09-26,4673128.0
P00727,2024-01-18,4016512.0
P00728,2023-11-29,7402234.0
P00729,2023-04-21,6407726.0
P00730,2024-06-22,2405638.0
P00731,2024-02-08,2030283.0
P00732,2024-04-05,9101227.0
P00733,2024-09-03,5368285.0
P00734,2023-11-24,2734334.0
P00735,2024-01-05,3984840.0
P00736,2024-05-03,2242324.0
P00737,2024-05-09,9336493.0
P00738,2024-06-25,6680930.0
P00739,2024-03-26,3741232.0
P00740,2023-02-07,4064972.0
P00741,2023-08-12,2996882.0
P00742,2024-01-14,1620752.0
P00743,2023-10-12,1234674.0
P00744,2023-01-28,9198342.0
P00745,2023-06-20,4382989.0
P00746,2023-07-16,2220004.0
P00747,2023-01-24,2320687.0
P00748,2024-05-02,3205559.0
P00749,2023-08-30,10074718.0
P00750,2024-05-20,6163762.0
P00751,2024-07-10,6860137.0
P00752,2024-07-18,3906268.0
P00753,2024-08-03,8680739.0
P00754,2023-11-15,6405600.0
P00755,2023-06-05,1634530.0
P00756,2023-02-23,1067325.0
P00757,2024-02-03,5694205.0
P00758,2023-03-23,7042448.0
P00759,2023-06-04,2326893.0
P00760,2023-06-06,8082413.0
P00761,2023-06-24,9065973.0
P00762,2023-08-26,7118370.0
P00763,2023-07-31,3840608.0
P00764,2023-12-03,5935604.0
P00765,2024-09-03,4310457.0
P00766,2024-02-17,7675708.0
P00767,2024-03-08,2265596.0
P00768,2023-04-14,4578097.0
P00769,2023-03-14,1020110.0
P00770,2023-05-01,4504061.0
P00771,2024-06-26,759087.0
P00772,2023-04-21,6513319.0
P00773,2024-09-20,5566106.0
P00774,2024-04-27,3480626.0
P00775,2024-06-13,4785761.0
P00776,2023-07-13,4377766.0
P00777,2023-04-10,4168386.0
P00778,2023-04-17,6628709.0
P00779,2024-07-02,2758195.0
P00780,2023-10-03,2103978.0
P00781,2023-09-19,5577790.0
P00782,2023-06-08,6703563.0
P00783,2023-08-16,3463283.0
P00784,2023-08-24,2776204.0
P00785,2024-04-23,918885.0
P00786,2024-06-10,11898212.0
P00787,2023-08-02,6550121.0
P00788,2023-10-16,3383099.0
P00789,2023-04-22,1327975.0
P00790,2023-02-13,2045307.0
P00791,2023-05-29,3887305.0
P00792,2023-01-16,7079246.0
P00793,2023-01-22,3376495.0
P00794,2023-06-02,8275491.0
P00795,2024-07-29,1214202.0
P00796,2023-04-29,6786685.0
P00797,2024-03-21,2773202.0
P00798,2023-04-05,9962355.0
P00799,2023-10-24,4689675.0
P00800,2024-01-23,3070505.0
P00801,2023-12-25,2985101.0
P00802,2024-05-26,10471431.0
P00803,2023-06-12,2486708.0
P00804,2024-04-19,3020874.0
P00805,2023-09-15,6750152.0
P00806,2023-10-12,5567521.0
P00807,2023-07-24,5814100.0
P00808,2024-09-29,3591557.0
P00809,2024-06-10,1665555.0
P00810,2023-10-23,641862.0
P00811,2024-04-20,999101.0
P00812,2024-08-08,4556307.0
P00813,2023-07-01,3575262.0
P00814,2023-07-28,4570836.0
P00815,2024-05-02,7997469.0
P00816,2023-07-01,3248379.0
P00817,2023-03-02,5973276.0
P00818,2024-01-16,10341468.0
P00819,2023-05-10,4597604.0
P00820,2024-01-10,5338391.0
P00821,2023-03-09,4230561.0
P00822,2023-11-02,2582055.0
